date,geography,geography code,Rural Urban,Household Spaces: All categories: Household spaces; measures: Value,Household Spaces: Household spaces with at least one usual resident; measures: Value,Household Spaces: Household spaces with no usual residents; measures: Value
2011,B4   6,B4   6,Total,200,192,8
2011,B4   7,B4   7,Total,452,428,24
2011,B42  1,B42  1,Total,4335,4175,160
2011,B42  2,B42  2,Total,5301,5148,153
2011,B43  5,B43  5,Total,4686,4502,184
2011,B43  6,B43  6,Total,2827,2659,168
2011,B43  7,B43  7,Total,4604,4478,126
2011,B44  0,B44  0,Total,6109,5949,160
2011,B44  8,B44  8,Total,4258,4148,110
2011,B44  9,B44  9,Total,5003,4880,123
2011,B45  0,B45  0,Total,3182,3140,42
2011,B45  8,B45  8,Total,4517,4401,116
2011,B45  9,B45  9,Total,5376,5232,144
2011,B46  1,B46  1,Total,3208,3073,135
2011,B46  2,B46  2,Total,921,877,44
2011,B46  3,B46  3,Total,1277,1202,75
2011,B47  5,B47  5,Total,2887,2842,45
2011,B47  6,B47  6,Total,1216,1174,42
2011,B48  7,B48  7,Total,2469,2391,78
2011,B49  5,B49  5,Total,2108,2003,105
2011,B49  6,B49  6,Total,2558,2485,73
2011,B5   4,B5   4,Total,1571,1332,239
2011,B5   5,B5   5,Total,178,167,11
2011,B5   6,B5   6,Total,190,135,55
2011,B5   7,B5   7,Total,3480,3392,88
2011,B50  4,B50  4,Total,2232,2171,61
2011,B6   4,B6   4,Total,376,370,6
2011,B6   5,B6   5,Total,1518,1497,21
2011,B6   6,B6   6,Total,3079,3025,54
2011,B6   7,B6   7,Total,1126,1042,84
2011,B60  1,B60  1,Total,3366,3245,121
2011,B60  2,B60  2,Total,3273,3203,70
2011,B60  3,B60  3,Total,3857,3787,70
2011,B60  4,B60  4,Total,1506,1445,61
2011,B61  0,B61  0,Total,4224,4120,104
2011,B61  7,B61  7,Total,2056,1999,57
2011,B61  8,B61  8,Total,2627,2562,65
2011,B61  9,B61  9,Total,1063,1020,43
2011,B62  0,B62  0,Total,2689,2628,61
2011,B62  8,B62  8,Total,3451,3333,118
2011,B62  9,B62  9,Total,4377,4245,132
2011,B63  1,B63  1,Total,2487,2447,40
2011,B63  2,B63  2,Total,5230,5042,188
2011,B63  3,B63  3,Total,3555,3433,122
2011,B63  4,B63  4,Total,4741,4605,136
2011,B64  5,B64  5,Total,1762,1661,101
2011,B64  6,B64  6,Total,3174,3001,173
2011,B64  7,B64  7,Total,2416,2302,114
2011,B65  0,B65  0,Total,2699,2574,125
2011,B65  8,B65  8,Total,3169,3038,131
2011,B65  9,B65  9,Total,4365,4183,182
2011,B66  1,B66  1,Total,1128,1070,58
2011,B66  2,B66  2,Total,538,514,24
2011,B66  3,B66  3,Total,2676,2606,70
2011,B66  4,B66  4,Total,3309,3146,163
2011,B67  5,B67  5,Total,4436,4214,222
2011,B67  6,B67  6,Total,4125,3991,134
2011,B67  7,B67  7,Total,3579,3437,142
2011,B68  0,B68  0,Total,4107,3897,210
2011,B68  8,B68  8,Total,4133,3951,182
2011,B68  9,B68  9,Total,4624,4419,205
2011,B69  1,B69  1,Total,6143,5923,220
2011,B69  2,B69  2,Total,2179,2034,145
2011,B69  3,B69  3,Total,1431,1364,67
2011,B69  4,B69  4,Total,2228,2146,82
2011,B7   4,B7   4,Total,1514,1485,29
2011,B7   5,B7   5,Total,2014,1958,56
2011,B70  0,B70  0,Total,2747,2638,109
2011,B70  6,B70  6,Total,2853,2735,118
2011,B70  7,B70  7,Total,1292,1253,39
2011,B70  8,B70  8,Total,1314,1257,57
2011,B70  9,B70  9,Total,3014,2812,202
2011,B71  1,B71  1,Total,3344,3228,116
2011,B71  2,B71  2,Total,4144,4000,144
2011,B71  3,B71  3,Total,3895,3695,200
2011,B71  4,B71  4,Total,1639,1589,50
2011,B72  1,B72  1,Total,4043,3902,141
2011,B73  5,B73  5,Total,5863,5657,206
2011,B73  6,B73  6,Total,4075,3947,128
2011,B74  2,B74  2,Total,4204,4074,130
2011,B74  3,B74  3,Total,4777,4597,180
2011,B74  4,B74  4,Total,5006,4797,209
2011,B75  5,B75  5,Total,3400,3309,91
2011,B75  6,B75  6,Total,3742,3635,107
2011,B75  7,B75  7,Total,4173,4037,136
2011,B76  0,B76  0,Total,170,153,17
2011,B76  1,B76  1,Total,5037,4920,117
2011,B76  2,B76  2,Total,2860,2801,59
2011,B76  9,B76  9,Total,1376,1310,66
2011,B77  1,B77  1,Total,4430,4334,96
2011,B77  2,B77  2,Total,5842,5724,118
2011,B77  3,B77  3,Total,3738,3669,69
2011,B77  4,B77  4,Total,5695,5613,82
2011,B77  5,B77  5,Total,3606,3533,73
2011,B78  1,B78  1,Total,4236,4092,144
2011,B78  2,B78  2,Total,1894,1815,79
2011,B78  3,B78  3,Total,4315,4075,240
2011,B79  0,B79  0,Total,1298,1247,51
2011,B79  7,B79  7,Total,3141,3029,112
